"","species","tissue","assay","dilutions","cutoff","roc_auc"
"1","Moose","Brainstem","Nano-QuIC",-5,24,0.833
"2","Moose","Brainstem","Nano-QuIC",-5,28,0.833
"3","Moose","Brainstem","Nano-QuIC",-5,32,0.852
"4","Moose","Brainstem","Nano-QuIC",-5,36,0.87
"5","Moose","Brainstem","Nano-QuIC",-5,40,0.87
"6","Moose","Brainstem","Nano-QuIC",-5,44,0.917
"7","Moose","Brainstem","Nano-QuIC",-5,48,0.917
"8","Moose","Brainstem","Nano-QuIC",-4,24,1
"9","Moose","Brainstem","Nano-QuIC",-4,28,1
"10","Moose","Brainstem","Nano-QuIC",-4,32,1
"11","Moose","Brainstem","Nano-QuIC",-4,36,1
"12","Moose","Brainstem","Nano-QuIC",-4,40,1
"13","Moose","Brainstem","Nano-QuIC",-4,44,1
"14","Moose","Brainstem","Nano-QuIC",-4,48,1
"15","Moose","Brainstem","Nano-QuIC",-3,24,1
"16","Moose","Brainstem","Nano-QuIC",-3,28,1
"17","Moose","Brainstem","Nano-QuIC",-3,32,0.984
"18","Moose","Brainstem","Nano-QuIC",-3,36,0.973
"19","Moose","Brainstem","Nano-QuIC",-3,40,0.957
"20","Moose","Brainstem","Nano-QuIC",-3,44,0.95
"21","Moose","Brainstem","Nano-QuIC",-3,48,0.943
"22","Moose","Brainstem","Nano-QuIC",-2,24,0.877
"23","Moose","Brainstem","Nano-QuIC",-2,28,0.889
"24","Moose","Brainstem","Nano-QuIC",-2,32,0.894
"25","Moose","Brainstem","Nano-QuIC",-2,36,0.892
"26","Moose","Brainstem","Nano-QuIC",-2,40,0.891
"27","Moose","Brainstem","Nano-QuIC",-2,44,0.889
"28","Moose","Brainstem","Nano-QuIC",-2,48,0.889
"29","Moose","Brainstem","RT-QuIC",-5,24,0.855
"30","Moose","Brainstem","RT-QuIC",-5,28,0.854
"31","Moose","Brainstem","RT-QuIC",-5,32,0.859
"32","Moose","Brainstem","RT-QuIC",-5,36,0.872
"33","Moose","Brainstem","RT-QuIC",-5,40,0.888
"34","Moose","Brainstem","RT-QuIC",-5,44,0.891
"35","Moose","Brainstem","RT-QuIC",-5,48,0.92
"36","Moose","Brainstem","RT-QuIC",-4,24,0.944
"37","Moose","Brainstem","RT-QuIC",-4,28,0.944
"38","Moose","Brainstem","RT-QuIC",-4,32,0.944
"39","Moose","Brainstem","RT-QuIC",-4,36,1
"40","Moose","Brainstem","RT-QuIC",-4,40,1
"41","Moose","Brainstem","RT-QuIC",-4,44,0.995
