"","assay","animal","species","animal_id","tissue","dilutions","wells","cutoff","date","rxn","mpr","qr","ms","ttt","raf","crossed","auc","id","elisa","genotype","pc1","pc2","pc3"
"1","Nano-QuIC","M1","Moose","1","Brainstem",-2,"E03",24,"2024-06-17","6-17-24_ZS_Moose1_BR_PosDilution",11.0764119601329,0.998500299940012,1.72240679217423,13.9523255813953,0.0716726393866156,TRUE,115.685008305648,"16-P138",TRUE,"KK 109",-2.31183784994162,1.00906694140386,0.365827373025126
"2","Nano-QuIC","M1","Moose","1","Brainstem",-2,"F03",24,"2024-06-17","6-17-24_ZS_Moose1_BR_PosDilution",11.7657512116317,1,1.86465625560941,15.1816838995569,0.0658688460790037,TRUE,106.973142164782,"16-P138",TRUE,"KK 109",-2.46444139160452,1.22789501160245,0.390217439020486
"3","Nano-QuIC","M1","Moose","1","Brainstem",-2,"G03",24,"2024-06-17","6-17-24_ZS_Moose1_BR_PosDilution",2.48397976391231,1,0.339516582349635,24,0.0416666666666667,FALSE,30.7765598650928,"16-P138",TRUE,"KK 109",0.525731826461592,0.301806801137605,-0.088094259040398
"4","Nano-QuIC","M1","Moose","1","Brainstem",-2,"H03",24,"2024-06-17","6-17-24_ZS_Moose1_BR_PosDilution",10.4226804123711,1,1.74684994272623,19.288315629742,0.0518448587837306,TRUE,65.3981958762886,"16-P138",TRUE,"KK 109",-1.91335467397777,1.4356417896897,0.263738290641718
"5","Nano-QuIC","M1","Moose","1","Brainstem",-3,"E04",24,"2024-06-17","6-17-24_ZS_Moose1_BR_PosDilution",9.83210603829161,0.958508088675854,1.83930616920308,8.00852698650675,0.124866907695368,TRUE,157.977724594993,"16-P138",TRUE,"KK 109",-2.46779434429896,0.572461454055654,-0.00542104460291783
"6","Nano-QuIC","M1","Moose","1","Brainstem",-3,"F04",24,"2024-06-17","6-17-24_ZS_Moose1_BR_PosDilution",10.6732223903177,0.95322466335932,2.05816103546815,7.03401122019635,0.142166392502866,TRUE,179.494515885023,"16-P138",TRUE,"KK 109",-2.88748832246318,0.564587311318116,-0.0403950139929196
"7","Nano-QuIC","M1","Moose","1","Brainstem",-3,"G04",24,"2024-06-17","6-17-24_ZS_Moose1_BR_PosDilution",10.2106870229008,0.944976076555024,1.96709075487701,7.07259450171821,0.141390829031278,TRUE,172.784541984733,"16-P138",TRUE,"KK 109",-2.70954686856868,0.537294218815864,-0.0494385546232071
"8","Nano-QuIC","M1","Moose","1","Brainstem",-3,"H04",24,"2024-06-17","6-17-24_ZS_Moose1_BR_PosDilution",10.5642276422764,0.967215637986763,2.05275519421861,7.11651816312543,0.140518154675913,TRUE,178.898780487805,"16-P138",TRUE,"KK 109",-2.8631154510704,0.557823463058243,-0.0564498073841529
"9","Nano-QuIC","M1","Moose","1","Brainstem",-4,"E05",24,"2024-06-17","6-17-24_ZS_Moose1_BR_PosDilution",5.80594900849858,1,1.11268492288322,22.2391304347826,0.0449657869012708,TRUE,37.0671033994334,"16-P138",TRUE,"KK 109",-0.574237029299728,0.954419840982105,-0.0837670823697381
"10","Nano-QuIC","M1","Moose","1","Brainstem",-4,"F05",24,"2024-06-17","6-17-24_ZS_Moose1_BR_PosDilution",8.44444444444444,1,1.4100064977258,16.2278009535161,0.0616226439345948,TRUE,78.4106359649123,"16-P138",TRUE,"KK 109",-1.45093924509621,0.958882995078887,0.146031841091327
"11","Nano-QuIC","M1","Moose","1","Brainstem",-4,"G05",24,"2024-06-17","6-17-24_ZS_Moose1_BR_PosDilution",7.52716593245228,1,1.2873225648556,18.7181719260065,0.0534240204627369,TRUE,57.8397577092511,"16-P138",TRUE,"KK 109",-1.09362715294422,1.00448347287953,0.0872420180473205
"12","Nano-QuIC","M1","Moose","1","Brainstem",-4,"H05",24,"2024-06-17","6-17-24_ZS_Moose1_BR_PosDilution",10.0388639760837,0.998511018463371,1.79471848530144,10.6470994475138,0.0939222935720309,TRUE,136.921524663677,"16-P138",TRUE,"KK 109",-2.33615580656376,0.761986140378359,0.0889132652980154
"13","Nano-QuIC","M1","Moose","1","Brainstem",-5,"E06",24,"2024-06-17","6-17-24_ZS_Moose1_BR_PosDilution",2.00147710487445,0.690774907749077,0.0298703430165764,24,0.0416666666666667,FALSE,29.510893648449,"16-P138",TRUE,"KK 109",0.827653921378855,0.101388858432894,0.072234992911497
"14","Nano-QuIC","M1","Moose","1","Brainstem",-5,"F06",24,"2024-06-17","6-17-24_ZS_Moose1_BR_PosDilution",7.00148588410104,1,1.25606736007925,20.7311401020987,0.0482366138608443,TRUE,46.5027860326894,"16-P138",TRUE,"KK 109",-0.919382532615135,1.04795362449519,0.0213667094684419
"15","Nano-QuIC","M1","Moose","1","Brainstem",-5,"G06",24,"2024-06-17","6-17-24_ZS_Moose1_BR_PosDilution",1.92405063291139,0.703125,0.0330520393811533,24,0.0416666666666667,FALSE,29.2280458860759,"16-P138",TRUE,"KK 109",0.839108865592236,0.0991500819887039,0.0549922810714753
"16","Nano-QuIC","M1","Moose","1","Brainstem",-5,"H06",24,"2024-06-17","6-17-24_ZS_Moose1_BR_PosDilution",5.26168224299065,1,1.07338179300796,23.0753610108303,0.043336266744891,TRUE,33.0695093457944,"16-P138",TRUE,"KK 109",-0.437394711273995,0.923392184514613,-0.15302993866007
"17","Nano-QuIC","M1","Moose","1","Lymph Node",-2,"E03",24,"2024-06-17","6-17-24_ZS_Moose1_LN_PosDilution",2.24190476190476,0.700084961767205,0.038941798941799,24,0.0416666666666667,FALSE,31.165,"16-P138",TRUE,"KK 109",0.773784166602969,0.111562844336949,0.109677542220683
"18","Nano-QuIC","M1","Moose","1","Lymph Node",-2,"F03",24,"2024-06-17","6-17-24_ZS_Moose1_LN_PosDilution",14.604743083004,0.998240866035183,2.76328502415459,10.7380493446415,0.0931267838230806,TRUE,192.90192687747,"16-P138",TRUE,"KK 109",-4.07777962813738,1.16548035163151,0.130440018719043
"19","Nano-QuIC","M1","Moose","1","Lymph Node",-2,"G03",24,"2024-06-17","6-17-24_ZS_Moose1_LN_PosDilution",13.8457249070632,0.989394549603974,2.62618752581578,12.7752349196726,0.0782764470702685,TRUE,158.941449814126,"16-P138",TRUE,"KK 109",-3.65077442771832,1.34158682223182,0.125442897887141
"20","Nano-QuIC","M1","Moose","1","Lymph Node",-2,"H03",24,"2024-06-17","6-17-24_ZS_Moose1_LN_PosDilution",12.9165048543689,0.994738424533975,2.44789644012945,13.5701620299603,0.0736910876813553,TRUE,140.872572815534,"16-P138",TRUE,"KK 109",-3.26785950429008,1.33213625521744,0.107454030885465
"21","Nano-QuIC","M1","Moose","1","Lymph Node",-3,"E04",24,"2024-06-17","6-17-24_ZS_Moose1_LN_PosDilution",2.14236706689537,0.77582065652522,0.0411663807890223,24,0.0416666666666667,FALSE,31.811320754717,"16-P138",TRUE,"KK 109",0.783506946978104,0.0982339988783015,0.0881539793921844
"22","Nano-QuIC","M1","Moose","1","Lymph Node",-3,"F04",24,"2024-06-17","6-17-24_ZS_Moose1_LN_PosDilution",2.03723404255319,0.7911227154047,0.0433412135539795,24,0.0416666666666667,FALSE,31.7353723404255,"16-P138",TRUE,"KK 109",0.798652307819474,0.091135890011334,0.0662204631928148
"23","Nano-QuIC","M1","Moose","1","Lymph Node",-3,"G04",24,"2024-06-17","6-17-24_ZS_Moose1_LN_PosDilution",2.00347826086957,0.7265625,0.036328502415459,24,0.0416666666666667,FALSE,29.8193478260869,"16-P138",TRUE,"KK 109",0.820833206966684,0.102247083556716,0.0670952826328028
"24","Nano-QuIC","M1","Moose","1","Lymph Node",-3,"H04",24,"2024-06-17","6-17-24_ZS_Moose1_LN_PosDilution",1.95404411764706,0.809031044214487,1.19485294117647,24,0.0416666666666667,FALSE,29.653262867647,"16-P138",TRUE,"KK 109",0.00791300314687371,0.738929706350094,-0.885384352376272
"25","Nano-QuIC","M1","Moose","1","Lymph Node",-4,"E05",24,"2024-06-17","6-17-24_ZS_Moose1_LN_PosDilution",2.05467372134039,0.788841201716738,0.0431118949637468,24,0.0416666666666667,FALSE,31.547619047619,"16-P138",TRUE,"KK 109",0.797301802035102,0.0942548246949834,0.069925524614403
