"","animal","species","tissue","elisa","cutoff","dilutions","perc_crossed_Nano-QuIC","perc_crossed_RT-QuIC","total_Nano-QuIC","total_RT-QuIC","crossed_Nano-QuIC","crossed_RT-QuIC"
"1","M1","Moose","Brainstem",TRUE,24,-3,100,NA,4,NA,4,NA
"2","M1","Moose","Brainstem",TRUE,32,-2,100,NA,4,NA,4,NA
"3","M1","Moose","Brainstem",TRUE,44,-3,NA,100,NA,4,NA,4
"4","M1","Moose","Brainstem",TRUE,48,-2,NA,0,NA,4,NA,0
"5","M1","Moose","Lymph Node",TRUE,24,-3,0,NA,4,NA,0,NA
"6","M1","Moose","Lymph Node",TRUE,24,-2,75,NA,4,NA,3,NA
"7","M1","Moose","Lymph Node",TRUE,28,-2,NA,100,NA,4,NA,4
"8","M1","Moose","Lymph Node",TRUE,44,-3,NA,25,NA,4,NA,1
"9","M10","Moose","Brainstem",TRUE,24,-3,0,NA,4,NA,0,NA
"10","M10","Moose","Brainstem",TRUE,32,-2,0,NA,4,NA,0,NA
"11","M10","Moose","Brainstem",TRUE,44,-3,NA,25,NA,4,NA,1
"12","M10","Moose","Brainstem",TRUE,48,-2,NA,0,NA,4,NA,0
"13","M10","Moose","Lymph Node",TRUE,24,-3,0,NA,4,NA,0,NA
"14","M10","Moose","Lymph Node",TRUE,24,-2,0,NA,4,NA,0,NA
"15","M10","Moose","Lymph Node",TRUE,28,-2,NA,0,NA,4,NA,0
"16","M10","Moose","Lymph Node",TRUE,44,-3,NA,0,NA,4,NA,0
"17","M12","Moose","Brainstem",TRUE,24,-3,100,NA,4,NA,4,NA
"18","M12","Moose","Brainstem",TRUE,32,-2,0,NA,4,NA,0,NA
"19","M12","Moose","Brainstem",TRUE,44,-3,NA,100,NA,4,NA,4
"20","M12","Moose","Brainstem",TRUE,48,-2,NA,0,NA,4,NA,0
"21","M12","Moose","Lymph Node",TRUE,24,-3,0,NA,4,NA,0,NA
"22","M12","Moose","Lymph Node",TRUE,24,-2,0,NA,4,NA,0,NA
"23","M12","Moose","Lymph Node",TRUE,28,-2,NA,50,NA,4,NA,2
"24","M12","Moose","Lymph Node",TRUE,44,-3,NA,0,NA,4,NA,0
"25","M277","Moose","Brainstem",FALSE,24,-3,0,NA,4,NA,0,NA
"26","M277","Moose","Brainstem",FALSE,32,-2,0,NA,4,NA,0,NA
"27","M277","Moose","Brainstem",FALSE,44,-3,NA,0,NA,4,NA,0
"28","M277","Moose","Brainstem",FALSE,48,-2,NA,0,NA,4,NA,0
"29","M277","Moose","Lymph Node",FALSE,24,-3,0,NA,4,NA,0,NA
"30","M277","Moose","Lymph Node",FALSE,24,-2,0,NA,4,NA,0,NA
"31","M277","Moose","Lymph Node",FALSE,28,-2,NA,0,NA,4,NA,0
"32","M277","Moose","Lymph Node",FALSE,44,-3,NA,0,NA,4,NA,0
"33","M281","Moose","Brainstem",FALSE,24,-3,0,NA,4,NA,0,NA
"34","M281","Moose","Brainstem",FALSE,32,-2,0,NA,4,NA,0,NA
"35","M281","Moose","Brainstem",FALSE,44,-3,NA,0,NA,4,NA,0
"36","M281","Moose","Brainstem",FALSE,48,-2,NA,0,NA,4,NA,0
"37","M281","Moose","Lymph Node",FALSE,24,-3,0,NA,4,NA,0,NA
"38","M281","Moose","Lymph Node",FALSE,24,-2,0,NA,4,NA,0,NA
"39","M281","Moose","Lymph Node",FALSE,28,-2,NA,0,NA,4,NA,0
"40","M281","Moose","Lymph Node",FALSE,44,-3,NA,0,NA,4,NA,0
"41","M285","Moose","Brainstem",FALSE,24,-3,0,NA,4,NA,0,NA
"42","M285","Moose","Brainstem",FALSE,32,-2,0,NA,4,NA,0,NA
"43","M285","Moose","Brainstem",FALSE,44,-3,NA,0,NA,4,NA,0
"44","M285","Moose","Brainstem",FALSE,48,-2,NA,0,NA,4,NA,0
"45","M285","Moose","Lymph Node",FALSE,24,-3,0,NA,4,NA,0,NA
"46","M285","Moose","Lymph Node",FALSE,24,-2,0,NA,4,NA,0,NA
"47","M285","Moose","Lymph Node",FALSE,28,-2,NA,0,NA,4,NA,0
"48","M285","Moose","Lymph Node",FALSE,44,-3,NA,0,NA,4,NA,0
"49","M287","Moose","Brainstem",FALSE,24,-3,0,NA,4,NA,0,NA
"50","M287","Moose","Brainstem",FALSE,32,-2,0,NA,4,NA,0,NA
"51","M287","Moose","Brainstem",FALSE,44,-3,NA,0,NA,4,NA,0
"52","M287","Moose","Brainstem",FALSE,48,-2,NA,0,NA,4,NA,0
"53","M287","Moose","Lymph Node",FALSE,24,-3,0,NA,4,NA,0,NA
"54","M287","Moose","Lymph Node",FALSE,24,-2,0,NA,4,NA,0,NA
"55","M287","Moose","Lymph Node",FALSE,28,-2,NA,0,NA,4,NA,0
"56","M287","Moose","Lymph Node",FALSE,44,-3,NA,0,NA,4,NA,0
"57","M3","Moose","Brainstem",TRUE,24,-3,100,NA,4,NA,4,NA
"58","M3","Moose","Brainstem",TRUE,32,-2,50,NA,4,NA,2,NA
"59","M3","Moose","Brainstem",TRUE,44,-3,NA,100,NA,4,NA,4
"60","M3","Moose","Brainstem",TRUE,48,-2,NA,0,NA,4,NA,0
"61","M3","Moose","Lymph Node",TRUE,24,-3,0,NA,4,NA,0,NA
"62","M3","Moose","Lymph Node",TRUE,24,-2,0,NA,4,NA,0,NA
"63","M3","Moose","Lymph Node",TRUE,28,-2,NA,0,NA,4,NA,0
"64","M3","Moose","Lymph Node",TRUE,44,-3,NA,0,NA,4,NA,0
"65","M5","Moose","Brainstem",TRUE,24,-3,100,NA,4,NA,4,NA
"66","M5","Moose","Brainstem",TRUE,32,-2,0,NA,4,NA,0,NA
"67","M5","Moose","Brainstem",TRUE,44,-3,NA,100,NA,4,NA,4
