"species","elisa","animal","tissue","Nano-QuIC_-2","Nano-QuIC_-3","Nano-QuIC_-4","Nano-QuIC_-5","Nano-QuIC_-6","Nano-QuIC_-7","Nano-QuIC_-8","Nano-QuIC_-9","Nano-QuIC_-10","Nano-QuIC_-11","Nano-QuIC_-1.3","Nano-QuIC_-1.6","Nano-QuIC_-1.78","Nano-QuIC_-1.7","RT-QuIC_-2","RT-QuIC_-3","RT-QuIC_-4","RT-QuIC_-5","RT-QuIC_-6","RT-QuIC_-7","RT-QuIC_-8","RT-QuIC_-9","RT-QuIC_-10","RT-QuIC_-11","RT-QuIC_-1.3","RT-QuIC_-1.6","RT-QuIC_-1.78","RT-QuIC_-1.7"
"Moose",FALSE,"M277","Brainstem",0,25,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moose",FALSE,"M277","Lymph Node",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moose",FALSE,"M281","Brainstem",0,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moose",FALSE,"M281","Lymph Node",25,0,25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moose",FALSE,"M285","Brainstem",0,75,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moose",FALSE,"M285","Lymph Node",100,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moose",FALSE,"M287","Brainstem",0,0,0,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moose",FALSE,"M287","Lymph Node",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moose",FALSE,"M539","Brainstem",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moose",FALSE,"M539","Lymph Node",25,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"Moose",FALSE,"M539","Skin",0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,75,NA
"Moose",FALSE,"M540","Brainstem",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moose",FALSE,"M540","Lymph Node",25,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Moose",TRUE,"M1","Brainstem",100,100,100,100,75,0,0,0,0,0,NA,NA,NA,NA,0,100,100,100,100,50,0,0,0,0,NA,NA,NA,NA
"Moose",TRUE,"M1","Lymph Node",75,25,0,0,0,0,0,0,0,0,NA,NA,NA,NA,100,25,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"Moose",TRUE,"M10","Brainstem",75,25,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,25,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"Moose",TRUE,"M10","Lymph Node",25,25,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moose",TRUE,"M10","Skin",6.25,0,0,6.25,0,NA,NA,NA,NA,NA,18.75,25,6.25,NA,0,0,0,6.25,0,NA,NA,NA,NA,NA,6.25,18.75,25,NA
"Moose",TRUE,"M12","Brainstem",25,100,100,100,100,25,0,0,0,0,NA,NA,NA,NA,0,100,100,100,100,25,25,0,0,0,NA,NA,NA,NA
