"species","Tissue","Assay","Dilutions","cutoff","metric","auc"
"M","BR","NQ",-3,"32","AUC",0.97337962962963
"M","BR","NQ",-3,"24","MPR",1
"M","BR","NQ",-3,"24","MS",0.987268518518518
"M","BR","RT",-4,"40","AUC",0.993055555555556
"M","BR","RT",-4,"40","MPR",1
"M","BR","RT",-3,"48","MS",0.976851851851852
"M","LN","NQ",-2,"28","AUC",0.747685185185185
"M","LN","NQ",-4,"40","MPR",0.730324074074074
"M","LN","NQ",-2,"24","MS",0.736111111111111
"M","LN","RT",-3,"48","AUC",0.732638888888889
"M","LN","RT",-2,"32","MPR",0.75
"M","LN","RT",-3,"36","MS",0.811342592592593
"M","skin","NQ",-1.60205999132796,"48","AUC",0.786184210526316
"M","skin","NQ",-1.60205999132796,"32","MPR",0.947368421052632
"M","skin","NQ",-1.60205999132796,"48","MS",0.819078947368421
"M","skin","RT",-1.30102999566398,"44","AUC",1
"M","skin","RT",-1.77815125038364,"28","MPR",0.957236842105263
"M","skin","RT",-1.30102999566398,"48","MS",0.957236842105263
"R","BR","NQ",-3,"40","AUC",0.91875
"R","BR","NQ",-2,"48","MPR",0.98125
"R","BR","NQ",-2,"48","MS",0.91875
"R","BR","RT",-3,"40","AUC",0.758333333333333
"R","BR","RT",-4,"32","MPR",0.86875
"R","BR","RT",-3,"36","MS",0.927083333333333
"R","LN","NQ",-3,"32","AUC",1
"R","LN","NQ",-3,"32","MPR",1
"R","LN","NQ",-3,"28","MS",1
"R","LN","RT",-3,"24","AUC",1
"R","LN","RT",-3,"24","MPR",1
"R","LN","RT",-3,"24","MS",1
"RD","BR","NQ",-2,"28","AUC",1
"RD","BR","NQ",-2,"24","MPR",1
"RD","BR","NQ",-2,"24","MS",1
"RD","BR","RT",-3,"24","AUC",0.875
"RD","BR","RT",-2,"24","MPR",0.96875
"RD","BR","RT",-5,"24","MPR",0.96875
"RD","BR","RT",-4,"44","MS",0.875
"RD","LN","NQ",-2,"48","AUC",0.875
"RD","LN","NQ",-2,"40","MPR",0.875
"RD","LN","NQ",-2,"40","MS",0.875
"RD","LN","RT",-4,"40","AUC",0.859375
"RD","LN","RT",-3,"40","MPR",0.625
"RD","LN","RT",-3,"36","MS",0.734375
"RD","skin","NQ",-1.30102999566398,"40","AUC",0.927083333333333
"RD","skin","NQ",-1.30102999566398,"28","MPR",0.875
"RD","skin","NQ",-1.30102999566398,"24","MS",0.90625
"RD","skin","RT",-1.30102999566398,"40","AUC",0.979166666666667
"RD","skin","RT",-1.30102999566398,"48","MPR",0.9375
"RD","skin","RT",-1.30102999566398,"48","MS",1
